plant,num_leaf_segments,num_uninfected,perc_infected,blackSpore,Undifilum,unk_infections,notAlfuInfected,morphospecies_not_counting_Undifilum,notes,startCulturedate,endCultureDate
203,16,9,0.4375,2,0,,7,2,5 yellow,9/16/17,10/7/17
248,22,8,0.636363636,2,14,,2,1,,9/15/17,10/7/17
37,22,,1,,0,4,4,1,,9/16/17,10/7/17
39,14,,1,1,0,2,3,2,,9/15/17,10/7/17
72,NA,NA,NA,NA,NA,NA,NA,NA,NA,,10/7/17
52,9,8,0.111111111,1,0,,1,1,,9/16/17,10/7/17
240,8,4,0.5,3,0,1,4,2,,9/17/17,10/7/17
258,16,0,1,2,0,,16,2,"14 yellow, sequenced the black spore fungus from this one",9/15/17,10/7/17
216,9,0,1,2,2,,9,2,7 yellow,9/17/17,10/7/17
123,7,0,1,2,0,6,8,2,,,10/7/17
50,13,3,0.769230769,,10,,0,,fuzzy not as white,,10/7/17
66,12,0,1,,12,,0,,,9/16/17,10/7/17
294,12,0,1,,11,,0,,,9/16/17,10/7/17
122,9,0,1,,9,,0,,,9/16/17,10/7/17
253,15,0,1,,15,,0,,,9/16/17,10/7/17
67,12,0,1,,12,,0,,,9/16/17,10/7/17
126,8,0,1,3,0,5,8,3,,9/17/17,10/7/17
282,8,NA,NA,NA,NA,NA,NA,NA,NA,,10/7/17
170,9,NA,NA,NA,NA,NA,NA,NA,NA,,10/7/17
204,9,6,0.333333333,1,0,2,3,2,,9/17/17,10/7/17
251,8,5,0.375,3,0,,3,1,,9/17/17,10/7/17
146,9,NA,NA,NA,NA,NA,NA,1,,9/17/17,10/7/17
109,9,0,1,2,0,5,7,2,was the pretty black blue fungus from A. tridentata that is in the heart shaped culture ,9/17/17,10/7/17
184,8,NA,NA,NA,NA,NA,NA,2,lots of contam,9/17/17,10/7/17
200,8,NA,NA,NA,NA,NA,NA,4,lots of contam,9/17/17,10/7/17
182,9,NA,NA,NA,NA,NA,NA,1,lots of contam,9/17/17,10/7/17
235,6,NA,NA,NA,NA,NA,NA,2,"black spores, also lots of green fungi",9/17/17,10/7/17
270,13,NA,NA,NA,NA,NA,NA,3,"black spores, also lots of green fungi",9/17/17,10/7/17
178,9,0,1,,9,,0,,fuzzy and slightly grayish,9/17/17,10/7/17
114,9,1,0.888888889,1,6,1,2,2,unk. was bright yellow and fuzzy,9/17/17,10/7/17
254,9,,1,1,9,,1,,,9/17/17,10/7/17
136,9,,1,1,9,,1,,,9/17/17,10/7/17
86,9,,1,,9,,0,,,9/17/17,10/7/17
121,9,,1,,9,,0,,"had black spore contam, also some yellow fuzz",9/17/17,10/7/17
118,9,,1,,9,,0,,,9/17/17,10/7/17
239,8,NA,NA,NA,NA,NA,NA,NA,,9/17/17,10/7/17
55,12,,1,12,NA,,12,,bright white,9/17/17,10/7/17
144,11,,1,11,NA,,11,,fuzzy grayer,9/17/17,10/7/17
110,13,13,0,,0,,0,,,9/16/17,10/7/17
112,8,8,0,,0,,0,,contam,9/17/17,10/11/17
195,8,NA,NA,NA,NA,NA,NA,NA,black spore contam,9/17/17,10/11/17
97,8,6,0.25,,0,,0,,,9/17/17,10/11/17
40,19,11,0.421052632,,0,1,1,1,,9/16/17,10/28/17
89,9,3,0.666666667,,9,,0,,,9/17/17,10/28/17
139,18,4,0.777777778,,0,1,1,1,fuzzy tan,9/16/17,10/28/17
111,9,8,0.111111111,,0,1,1,1,yellow slime,9/17/17,10/28/17
108,9,2,0.777777778,,0,7,7,1,brown fuzzy,9/17/17,10/28/17
224,9,2,0.777777778,,0,7,7,2,"white fuzzy, yellow slime",9/17/17,10/28/17
189,9,9,0,,0,,0,,some contam,9/17/17,10/28/17
206,9,9,0,,0,,0,2,some contam,9/17/17,10/28/17
134,9,4,0.555555556,,0,,0,1,,9/17/17,10/28/17
186,9,8,0.111111111,1,0,,1,1,,9/17/17,10/28/17
70,10,1,0.9,,0,7,7,1,tan fuzzy,9/17/17,10/28/17
212,9,4,0.555555556,,1,2,2,1,some contam,9/17/17,10/28/17
191,9,9,0,,0,,0,,some contam,9/17/17,10/28/17
185,9,8,0.111111111,1,0,,1,1,,9/17/17,10/28/17
287,15,8,0.466666667,,0,7,7,2,,9/17/17,10/28/17
155,12,12,0,,0,,0,,,9/16/17,10/28/17
48,7,2,0.714285714,,0,5,5,,tan fuzzy,9/17/17,10/28/17
62,13,12,0.076923077,,0,1,1,1,,9/16/17,10/28/17
16,12,11,0.083333333,,0,1,1,1,,9/16/17,10/28/17
276,17,8,0.529411765,1,0,9,10,3,,9/16/17,10/28/17
47,17,6,0.647058824,,11,,0,,"white fuzzy, some black spore contam",9/16/17,10/28/17
176,13,12,0.076923077,,0,1,1,1,,9/16/17,10/28/17
167,11,7,0.363636364,,0,4,4,1,brown fuzzy,9/16/17,10/28/17
25,10,8,0.2,,0,2,2,1,white fuzzy,9/16/17,10/28/17
8,11,8,0.272727273,,3,,0,,white fuzzy,9/16/17,10/28/17
171,12,8,0.333333333,,0,4,4,2,black sore contam,9/16/17,10/28/17
60,14,14,0,,0,,0,0,,9/16/17,10/28/17
113,10,10,0,,0,,0,0,,9/16/17,10/28/17
7,15,15,0,,0,,0,0,,9/16/17,10/28/17
103,9,9,0,,0,,0,0,,9/16/17,10/28/17
231,10,2,0.8,,0,8,8,3,"yellow slime, black spore contam",9/16/17,10/28/17
203,16,6,0.625,,0,10,10,2,"yellow slime, black spore contam",9/16/17,10/28/17
10,15,15,0,,0,,0,,,9/16/17,10/28/17
53,9,9,0,,0,,0,,,9/16/17,10/28/17
157,12,12,0,,0,,0,,,9/16/17,10/28/17
43,13,13,0,,0,,0,,,9/16/17,10/28/17
102,10,10,0,,0,,0,,,9/16/17,10/28/17
27,11,11,0,,0,,0,,,9/16/17,10/28/17
133,8,8,0,,0,,0,,,9/16/17,10/28/17
88,9,9,0,,0,,0,,,9/16/17,10/28/17
109,9,9,0,,0,,0,,,9/16/17,10/28/17
24,9,9,0,,0,,0,,,9/16/17,10/28/17
91,9,9,0,,0,,0,,,9/16/17,10/28/17
177,10,10,0,,0,,0,,,9/16/17,10/28/17
73,9,9,0,,0,,0,,,9/16/17,10/28/17
87,9,9,0,,0,,0,,,9/16/17,10/28/17
100,9,9,0,,0,,0,,,9/16/17,10/28/17
235,4,4,0,,0,,0,,,9/16/17,10/28/17
127,18,18,0,,0,,0,,,9/16/17,10/28/17
220,13,13,0,,0,,0,,,9/16/17,10/28/17
3,12,12,0,,0,,0,,,9/16/17,10/28/17
227,13,13,0,,0,,0,,,9/16/17,10/28/17
288,14,14,0,,0,,0,,,9/16/17,10/28/17
68,16,16,0,,0,,0,,,9/16/17,10/28/17
160,13,13,0,,0,,0,,,9/16/17,10/28/17
33,9,9,0,,0,,0,,,9/16/17,10/28/17
46,14,14,0,,0,,0,,,9/16/17,10/28/17
13,13,13,0,,0,,0,,,9/16/17,10/28/17
26,12,12,0,,0,,0,,,9/16/17,10/28/17
272,13,13,0,,0,,0,,,9/16/17,10/28/17
14,13,13,0,,0,,0,,,9/16/17,10/28/17
201,17,17,0,,0,,0,,,9/16/17,10/28/17
23,11,11,0,,0,,0,,,9/16/17,10/28/17
57,14,14,0,,0,,0,,,9/16/17,10/28/17
192,13,13,0,,0,,0,,,9/16/17,10/28/17
4,12,12,0,,0,,0,,,9/16/17,10/28/17
17,12,12,0,,0,,0,,,9/16/17,10/28/17
18,11,11,0,,0,,0,,,9/16/17,10/28/17
104,11,11,0,,0,,0,,,9/16/17,10/28/17
78,10,10,0,,0,,0,,,9/16/17,10/28/17
161,14,14,0,,0,,0,,,9/16/17,10/28/17
124,16,16,0,,0,,0,,,9/16/17,10/28/17
49,9,9,0,,0,,0,,,9/16/17,10/28/17
194,15,14,0.066666667,,0,,0,1,,9/16/17,10/28/17
164,17,17,0,,0,,0,,,9/16/17,10/28/17
31,12,12,0,,0,,0,,,9/16/17,10/28/17
69,16,16,0,,0,,0,,,9/16/17,10/28/17
260,20,20,0,,0,,0,,,9/16/17,10/28/17
21,12,12,0,,0,,0,,,9/16/17,10/28/17
12,23,23,0,,0,,0,,,9/16/17,10/28/17
152,8,8,0,,0,,0,,,9/16/17,10/28/17
156,10,10,0,,0,,0,,,9/16/17,10/28/17
63,16,16,0,,0,,0,,,9/16/17,10/28/17
59,11,11,0,,0,,0,,,9/16/17,10/28/17
71,11,11,0,,0,,0,,,9/16/17,10/28/17
58,11,11,0,,0,,0,,,9/16/17,10/28/17
135,15,15,0,,0,,0,,,9/16/17,10/28/17
148,9,9,0,,0,,0,,,9/16/17,10/28/17
162,12,12,0,,0,,0,,,9/16/17,10/28/17
131,9,9,0,,0,,0,,,9/16/17,10/28/17
168,13,13,0,,0,,0,,,9/16/17,10/28/17
51,10,10,0,,0,,0,,,9/16/17,10/28/17
22,12,12,0,,0,,0,,,9/16/17,10/28/17
6,15,15,0,,0,,0,,,9/16/17,10/28/17
15,12,12,0,,0,,0,,,9/16/17,10/28/17
19,16,16,0,,0,,0,,,9/16/17,10/28/17
42,10,10,0,,0,,0,,,9/16/17,10/28/17
35,16,16,0,,0,,0,,,9/16/17,10/28/17
54,9,9,0,,0,,0,,,9/16/17,10/28/17
29,15,15,0,,0,,0,,,9/16/17,10/28/17
2,12,12,0,,0,,0,,,9/16/17,10/28/17
61,19,19,0,,0,,0,,,9/16/17,10/28/17
35,12,12,0,,0,,0,,,9/16/17,10/28/17
5,10,10,0,,0,,0,,,9/16/17,10/28/17
213,18,18,0,,0,,0,,,9/16/17,10/28/17
41,12,12,0,,0,,0,,,9/16/17,10/28/17
163,15,12,0.2,,3,,0,,white fuzzy,9/16/17,10/28/17
209,13,13,0,,0,,0,,,9/16/17,10/28/17
9,16,16,0,,0,,0,,,9/16/17,10/28/17
55,12,0,1,,12,,0,,Sequenced this Alfu,9/16/17,10/28/17
144,11,0,1,,11,,0,,,,
